Timestamp,Time,Source,Destination,Discovery,Packet_length,Payload_length,Sequence_number,Mac,Manufacturer,Src_device,Dst_device,Burst
1621911231,2021-05-25 07:53:51,0x00000000,0x00003d35,0x00000001,45,8,19,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,217
1621911232,2021-05-25 07:53:52,0x00003d35,0x00000000,0x00000001,65,28,224,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,217
1621911232,2021-05-25 07:53:52,0x00000000,0x00003d35,0x00000001,45,8,20,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,217
1621911233,2021-05-25 07:53:53,0x00003d35,0x00000000,0x00000001,65,28,226,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,217
1621911233,2021-05-25 07:53:53,0x00000000,0x00003d35,0x00000001,45,8,21,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,217
1621911243,2021-05-25 07:54:03,0x00003d35,0x00000000,0x00000001,54,17,228,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,218
1621911243,2021-05-25 07:54:03,0x00000000,0x00003d35,0x00000001,45,8,23,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,218
1621911253,2021-05-25 07:54:13,0x00008dc0,0x00000000,0x00000001,52,15,187,b0:ce:18:14:00:01:2a:02,"Zhejiang shenghui lighting co.,Ltd",ZED,ZC,219
1621911253,2021-05-25 07:54:13,0x00000000,0x00008dc0,0x00000001,49,8,25,24:fd:5b:00:00:02:1d:72,"Zhejiang shenghui lighting co.,Ltd",ZC,ZED,219
1621911279,2021-05-25 07:54:39,0x0000f6cd,0x00000000,0x00000001,52,15,1,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,220
1621911279,2021-05-25 07:54:39,0x00000000,0x0000f6cd,0x00000000,50,13,29,24:fd:5b:00:00:02:1d:72,Texas Instruments,ZC,ZR,220
1621911279,2021-05-25 07:54:39,0x0000f6cd,0x00000000,0x00000001,45,8,2,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,220
1621911282,2021-05-25 07:54:42,0x0000ebb8,0x00000000,0x00000001,53,16,252,24:fd:5b:00:01:04:50:a5,"SmartThings, Inc.",ZR,ZC,221
1621911282,2021-05-25 07:54:42,0x00000000,0x0000ebb8,0x00000001,45,8,30,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZR,221
1621911291,2021-05-25 07:54:51,0x0000cbf8,0x00000000,0x00000001,53,16,125,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,222
1621911292,2021-05-25 07:54:52,0x00000000,0x0000cbf8,0x00000001,45,8,32,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,222
1621911292,2021-05-25 07:54:52,0x00000000,0x0000cbf8,0x00000000,50,13,34,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,222
1621911292,2021-05-25 07:54:52,0x0000cbf8,0x00000000,0x00000000,45,8,126,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,222
1621911321,2021-05-25 07:55:21,0x00005465,0x00000000,0x00000000,57,20,227,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,223
1621911321,2021-05-25 07:55:21,0x00000000,0x00005465,0x00000000,49,8,38,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,223
1621911321,2021-05-25 07:55:21,0x00000000,0x00005465,0x00000000,53,12,40,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,223
1621911321,2021-05-25 07:55:21,0x00005465,0x00000000,0x00000000,45,8,229,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,223
1621911328,2021-05-25 07:55:28,0x00003d35,0x00000000,0x00000001,53,16,230,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,224
1621911328,2021-05-25 07:55:28,0x00000000,0x00003d35,0x00000001,45,8,41,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,224
1621911420,2021-05-25 07:57:00,0x00003d35,0x00000000,0x00000001,69,32,232,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,225
1621911420,2021-05-25 07:57:00,0x00000000,0x00003d35,0x00000001,45,8,49,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,225
1621911421,2021-05-25 07:57:01,0x00003d35,0x00000000,0x00000001,65,28,234,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,225
1621911421,2021-05-25 07:57:01,0x00000000,0x00003d35,0x00000001,45,8,50,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,225
1621911421,2021-05-25 07:57:01,0x00005465,0x00000000,0x00000001,52,15,238,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,225
1621911421,2021-05-25 07:57:01,0x00000000,0x00005465,0x00000001,49,8,51,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,225
1621911421,2021-05-25 07:57:01,0x00000000,0x00005465,0x00000000,54,13,53,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,225
1621911421,2021-05-25 07:57:01,0x00005465,0x00000000,0x00000000,45,8,240,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,225
1621911422,2021-05-25 07:57:02,0x00003d35,0x00000000,0x00000001,65,28,236,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,225
1621911422,2021-05-25 07:57:02,0x00000000,0x00003d35,0x00000001,45,8,54,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,225
1621911423,2021-05-25 07:57:03,0x00003d35,0x00000000,0x00000001,65,28,238,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,225
1621911423,2021-05-25 07:57:03,0x00000000,0x00003d35,0x00000001,45,8,55,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,225
1621911433,2021-05-25 07:57:13,0x00003d35,0x00000000,0x00000001,54,17,240,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,226
1621911433,2021-05-25 07:57:13,0x00000000,0x00003d35,0x00000001,45,8,58,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,226
1621911447,2021-05-25 07:57:27,0x0000ebb8,0x00000000,0x00000001,52,15,10,24:fd:5b:00:01:04:50:a5,"SmartThings, Inc.",ZR,ZC,227
1621911447,2021-05-25 07:57:27,0x00000000,0x0000ebb8,0x00000001,45,8,60,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZR,227
1621911476,2021-05-25 07:57:56,0x00007181,0x00000000,0x00000001,52,15,22,b0:ce:18:14:03:3b:30:23,"Zhejiang shenghui lighting co.,Ltd",ZED,ZC,228
1621911476,2021-05-25 07:57:56,0x00000000,0x00007181,0x00000001,45,8,63,24:fd:5b:00:00:02:1d:72,"Zhejiang shenghui lighting co.,Ltd",ZC,ZED,228
1621911503,2021-05-25 07:58:23,0x00008dc0,0x00000000,0x00000001,52,15,189,b0:ce:18:14:00:01:2a:02,"Zhejiang shenghui lighting co.,Ltd",ZED,ZC,229
