Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Src_device,Dst_device,Burst,Gap
1611712602,2021-01-27 06:56:42,0x0000c99e,0x00000000,53,16,159,ZED,ZC,15,1803
1611712602,2021-01-27 06:56:42,0x0000c99e,0x00000000,53,16,161,ZED,ZC,15,1803
1611712603,2021-01-27 06:56:43,0x00000000,0x0000c99e,45,8,240,ZC,ZED,15,1803
1611712603,2021-01-27 06:56:43,0x00000000,0x0000c99e,50,13,242,ZC,ZED,15,1803
1611712603,2021-01-27 06:56:43,0x00000000,0x0000c99e,45,8,243,ZC,ZED,15,1803
1611712603,2021-01-27 06:56:43,0x0000c99e,0x00000000,45,8,162,ZED,ZC,15,1803
1611712603,2021-01-27 06:56:43,0x00000000,0x0000c99e,50,13,245,ZC,ZED,15,1803
1611712603,2021-01-27 06:56:43,0x0000c99e,0x00000000,45,8,163,ZED,ZC,15,1803
