Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Src_device,Dst_device,Burst,Gap
1611806936,2021-01-28 09:08:56,0x00000000,0x00004439,50,13,74,ZC,ZR,7,90
1611806936,2021-01-28 09:08:56,0x00004439,0x00000000,45,8,38,ZR,ZC,7,90
1611806936,2021-01-28 09:08:56,0x00004439,0x00000000,53,16,40,ZR,ZC,7,90
1611806936,2021-01-28 09:08:56,0x00000000,0x00004439,50,13,76,ZC,ZR,7,90
1611806936,2021-01-28 09:08:56,0x00004439,0x00000000,45,8,41,ZR,ZC,7,90
1611806936,2021-01-28 09:08:56,0x00004439,0x00000000,53,16,42,ZR,ZC,7,90
