Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Src_device,Dst_device,Burst,Gap
1611811828,2021-01-28 10:30:28,0x00006edf,0x00000000,48,11,235,ZED,ZC,1,303
1611811828,2021-01-28 10:30:28,0x00000000,0x00006edf,45,8,111,ZC,ZED,1,303
1611811828,2021-01-28 10:30:28,0x00000000,0x00006edf,51,14,113,ZC,ZED,1,303
1611811828,2021-01-28 10:30:28,0x00006edf,0x00000000,50,13,237,ZED,ZC,1,303
1611811828,2021-01-28 10:30:28,0x00006edf,0x00000000,45,8,238,ZED,ZC,1,303
1611811829,2021-01-28 10:30:29,0x00000000,0x00006edf,45,8,114,ZC,ZED,1,303
